input_name,canonical_name,match_type,score
Directed Edge,,NO_MATCH,0.0
JustSpotted,,NO_MATCH,0.0
Canopy Labs,,NO_MATCH,0.0
Semantics3,,NO_MATCH,0.0
Casetext,,NO_MATCH,0.0
CareMessage,,NO_MATCH,0.0
OpenCurriculum,,NO_MATCH,0.0
Checkr,,NO_MATCH,0.0
SalesSift,,NO_MATCH,0.0
Weave,,NO_MATCH,0.0
Qventus,,NO_MATCH,0.0
20n,,NO_MATCH,0.0
Akido Labs,,NO_MATCH,0.0
Zeitview,,NO_MATCH,0.0
Yhat,,NO_MATCH,0.0
Dabble,,NO_MATCH,0.0
Tara AI,,NO_MATCH,0.0
Mashgin,,NO_MATCH,0.0
ROSS Intelligence,,NO_MATCH,0.0
Reduced Energy Microsystems,,NO_MATCH,0.0
iSono Health,,NO_MATCH,0.0
Algoriz,,NO_MATCH,0.0
Pulpix,,NO_MATCH,0.0
Superside,,NO_MATCH,0.0
Gecko Robotics,,NO_MATCH,0.0
Caper,,NO_MATCH,0.0
Sendbird,,NO_MATCH,0.0
Nova,,NO_MATCH,0.0
Farmstead,,NO_MATCH,0.0
Sway Finance,,NO_MATCH,0.0
OneChronos,,NO_MATCH,0.0
garten,,NO_MATCH,0.0
Airo Health,,NO_MATCH,0.0
Synvivia,,NO_MATCH,0.0
Seerslab,,NO_MATCH,0.0
Miso,,NO_MATCH,0.0
Saleswhale,,NO_MATCH,0.0
Scale AI,Scale AI,EXACT,100.0
People.ai,,NO_MATCH,0.0
Voiceops,,NO_MATCH,0.0
Speak,,NO_MATCH,0.0
Scribe,,NO_MATCH,0.0
Pit.AI,,NO_MATCH,0.0
MDalgorithms Inc.,,NO_MATCH,0.0
RankScience,,NO_MATCH,0.0
Ambient.ai,,NO_MATCH,0.0
Penny,,NO_MATCH,0.0
"Veryfi, Inc.",,NO_MATCH,0.0
Tetra,,NO_MATCH,0.0
BIOS Health,,NO_MATCH,0.0
Bicycle AI,,NO_MATCH,0.0
Helix Nanotechnologies,,NO_MATCH,0.0
ScopeAI,,NO_MATCH,0.0
VergeSense,,NO_MATCH,0.0
Darmiyan,,NO_MATCH,0.0
Mystro,,NO_MATCH,0.0
Semantix,,NO_MATCH,0.0
Plasticity,,NO_MATCH,0.0
D-ID,,NO_MATCH,0.0
Percept.AI,,NO_MATCH,0.0
Sourceress,,NO_MATCH,0.0
May Mobility,,NO_MATCH,0.0
Commissary Club (formerly 70 Million Jobs),,NO_MATCH,0.0
AssemblyAI,,NO_MATCH,0.0
