schemaVersion,recordType,title,authors,paper_url,github_url,github_stars,published_date,source_name,arxiv_id,github_forks,github_watchers
1.0,RESEARCH_PAPER,Towards K-means-friendly Spaces: Simultaneous Deep Learning and Clustering,,http://arxiv.org/abs/1610.04794v2,https://github.com/boyangumn/DCN,95,,Papers With Code / arXiv,1610.04794,28,95
1.0,RESEARCH_PAPER,Tencent ML-Images: A Large-Scale Multi-Label Image Database for Visual Representation Learning,,https://arxiv.org/abs/1901.01703v7,https://github.com/Tencent/tencent-ml-images,3062,,Papers With Code / arXiv,1901.01703,504,3062
1.0,RESEARCH_PAPER,Event Graphs: Advances and Applications of Second-Order Time-Unfolded Temporal Network Models,,http://arxiv.org/abs/1809.03457v1,https://github.com/empiricalstateofmind/eventgraphs,24,,Papers With Code / arXiv,1809.03457,8,24
1.0,RESEARCH_PAPER,Supervised Learning of Universal Sentence Representations from Natural Language Inference Data,,http://arxiv.org/abs/1705.02364v5,https://github.com/facebookresearch/InferSent,2279,,Papers With Code / arXiv,1705.02364,463,2279
1.0,RESEARCH_PAPER,Efficient training of energy-based models via spin-glass control,,https://arxiv.org/abs/1910.01592v4,https://github.com/apozas/rapid,5,,Papers With Code / arXiv,1910.01592,1,5
1.0,RESEARCH_PAPER,General Purpose Atomic Crosschain Transactions,,https://arxiv.org/abs/2011.12783v4,https://github.com/Consensys/gpact,87,,Papers With Code / arXiv,2011.12783,23,87
1.0,RESEARCH_PAPER,MS-DPPs: Multi-Source Determinantal Point Processes for Contextual Diversity Refinement of Composite Attributes in Text to Image Retrieval,,https://arxiv.org/abs/2507.06654v1,https://github.com/NEC-N-SOGI/msdpp,0,,Papers With Code / arXiv,2507.06654,0,0
1.0,RESEARCH_PAPER,Semantic Document Distance Measures and Unsupervised Document Revision Detection,,http://arxiv.org/abs/1709.01256v2,https://github.com/XiaofengZhu/wDTW-wTED,1,,Papers With Code / arXiv,1709.01256,1,1
1.0,RESEARCH_PAPER,Benchmarking machine learning models on multi-centre eICU critical care dataset,,https://arxiv.org/abs/1910.00964v3,https://github.com/mostafaalishahi/eICU_Benchmark,44,,Papers With Code / arXiv,1910.00964,14,44
1.0,RESEARCH_PAPER,1-OGC: The first open gravitational-wave catalog of binary mergers from analysis of public Advanced LIGO data,,http://arxiv.org/abs/1811.01921v2,https://github.com/gwastro/1-ogc,11,,Papers With Code / arXiv,1811.01921,6,11
1.0,RESEARCH_PAPER,Modeling the Dynamics of Online Learning Activity,,http://arxiv.org/abs/1610.05775v1,https://github.com/Human-Centric-Machine-Learning/hdhp.py,36,,Papers With Code / arXiv,1610.05775,11,36
1.0,RESEARCH_PAPER,audino: A Modern Annotation Tool for Audio and Speech,,https://arxiv.org/abs/2006.05236v2,https://github.com/midas-research/audino,1147,,Papers With Code / arXiv,2006.05236,140,1147
1.0,RESEARCH_PAPER,Breaking the Nonsmooth Barrier: A Scalable Parallel Method for Composite Optimization,,http://arxiv.org/abs/1707.06468v3,https://github.com/fabianp/ProxASAGA,13,,Papers With Code / arXiv,1707.06468,5,13
1.0,RESEARCH_PAPER,Constrained-size Tensorflow Models for YouTube-8M Video Understanding Challenge,,http://arxiv.org/abs/1808.06739v3,https://github.com/boliu61/youtube-8m,6,,Papers With Code / arXiv,1808.06739,1,6
1.0,RESEARCH_PAPER,Accelerating Deep Unsupervised Domain Adaptation with Transfer Channel Pruning,,http://arxiv.org/abs/1904.02654v1,https://github.com/jindongwang/transferlearning,14351,,Papers With Code / arXiv,1904.02654,3835,14351
1.0,RESEARCH_PAPER,Context-Aware Attentive Knowledge Tracing,,https://arxiv.org/abs/2007.12324v1,https://github.com/arghosh/AKT,125,,Papers With Code / arXiv,2007.12324,37,125
1.0,RESEARCH_PAPER,Implicit self-consistent description of electrolyte in plane-wave density-functional theory,,http://arxiv.org/abs/1601.03346v1,https://github.com/henniggroup/VASPsol,177,,Papers With Code / arXiv,1601.03346,86,177
1.0,RESEARCH_PAPER,Fast and Robust Multiple ColorChecker Detection using Deep Convolutional Neural Networks,,http://arxiv.org/abs/1810.08639v1,https://github.com/pedrodiamel/colorchecker-detection,65,,Papers With Code / arXiv,1810.08639,13,65
1.0,RESEARCH_PAPER,Decision Stream: Cultivating Deep Decision Trees,,http://arxiv.org/abs/1704.07657v3,https://github.com/aiff22/Decision-Stream,33,,Papers With Code / arXiv,1704.07657,6,33
1.0,RESEARCH_PAPER,Addressee and Response Selection in Multi-Party Conversations with Speaker Interaction RNNs,,http://arxiv.org/abs/1709.04005v2,https://github.com/ryanzhumich/sirnn,4,,Papers With Code / arXiv,1709.04005,2,4
