schemaVersion,recordType,title,authors,paper_url,github_url,github_stars,published_date,source_name,arxiv_id,github_forks,github_watchers
1.0,RESEARCH_PAPER,IdeaAMBIG: Benchmarking Implementation-Critical Gaps in Research-Idea Specifications,Yiling Ma; Yilun Zhao; Sihong Wu; Manasi Patwardhan; Arman Cohan,https://arxiv.org/abs/2609.10539v1,,,2026-09-09T17:59:04Z,arXiv,2609.10539,,
1.0,RESEARCH_PAPER,Likelihood-free inference with nuisance parameters through normalizing flows,Phil Assheton,https://arxiv.org/abs/2609.10534v1,,,2026-09-09T17:58:15Z,arXiv,2609.10534,,
1.0,RESEARCH_PAPER,A positive resolution of the gap-entropy conjecture,P. M. Aronow; Nathan Kallus; Patrick Lopatto,https://arxiv.org/abs/2609.10529v1,,,2026-09-09T17:57:11Z,arXiv,2609.10529,,
1.0,RESEARCH_PAPER,Characterizing Language Generation in the Limit: Finite Witnesses and a Separation-Width Hierarch,Xiaoyu Li; Andi Han; Jiaojiao Jiang; Junbin Gao,https://arxiv.org/abs/2609.10525v1,,,2026-09-09T17:54:30Z,arXiv,2609.10525,,
1.0,RESEARCH_PAPER,Show-Harness: Just a VLM Agent Can Play Robots,Yanzhe Chen; Zechen Bai; Zhijun Cao; Wenzheng Zeng; Kevin Qinghong Lin; Yiqi Lin; Guoqiang Liang; Kevin Yuchen Ma; Qiming Huang; Mike Zheng Shou,https://arxiv.org/abs/2609.10522v1,,,2026-09-09T17:53:38Z,arXiv,2609.10522,,
1.0,RESEARCH_PAPER,Optimal Low-Rank Quantum State Tomography with Bounded-Sample Joint Measurements,Ashwin Nayak; Xingyu Zhou,https://arxiv.org/abs/2609.10514v1,,,2026-09-09T17:48:41Z,arXiv,2609.10514,,
1.0,RESEARCH_PAPER,Quantum Feature Engineering for Credit Default Prediction: When and Why IQP Circuits Help Linear Classifiers,Menachem Finkelstein; Diana Legziel Levy; Zohar Yakhini; Sarel Cohen,https://arxiv.org/abs/2609.10505v1,,,2026-09-09T17:41:27Z,arXiv,2609.10505,,
1.0,RESEARCH_PAPER,Cross-Model Agreement as a Deployment-Time Reliability Signal for Automatic Polyp Segmentation,Siddharth Gupta; Jitin Singla,https://arxiv.org/abs/2609.10495v1,,,2026-09-09T17:32:43Z,arXiv,2609.10495,,
1.0,RESEARCH_PAPER,"IBIB: A Protocol for Measuring Enterprise AI Systems by Serving Route, Not Model Identifier",Blake Stenstrom; Charangan Vasantharajan; Brian Sathianathan,https://arxiv.org/abs/2609.10494v1,,,2026-09-09T17:31:29Z,arXiv,2609.10494,,
1.0,RESEARCH_PAPER,Learning with Covariance Matrices: Principal Component Analysis Meets Learning with Graphs,Saurabh Sihag; Andrea Cavallo; Elvin Isufi; Gonzalo Mateos; Alejandro Ribeiro,https://arxiv.org/abs/2609.10490v1,,,2026-09-09T17:28:46Z,arXiv,2609.10490,,
